"key","shark_id","id","datetime","tz_datetime","latitude","longitude"
1,41,"61865","12 May 2017 5:56:18 PM","12 May 2017 5:56:18 PM +0900","36.65662","-72.01635"
1,41,"61439","23 April 2017 8:49:00 AM","23 April 2017 8:49:00 AM +0900","31.1444","-77.10802"
1,41,"61164","15 April 2017 4:00:59 AM","15 April 2017 4:00:59 AM +0900","30.80375","-79.05285"
1,41,"61113","13 April 2017 6:03:06 AM","13 April 2017 6:03:06 AM +0900","31.32171","-79.07424"
1,41,"61087","12 April 2017 12:42:59 AM","12 April 2017 12:42:59 AM +0900","31.16405","-78.93902"
1,41,"61086","12 April 2017 12:42:59 AM","12 April 2017 12:42:59 AM +0900","31.16405","-78.93902"
1,41,"60498","20 March 2017 1:57:12 AM","20 March 2017 1:57:12 AM +0900","31.22323","-78.62511"
1,41,"60475","19 March 2017 5:44:32 AM","19 March 2017 5:44:32 AM +0900","31.22249","-78.86723"
1,41,"60472","19 March 2017 4:06:40 AM","19 March 2017 4:06:40 AM +0900","31.19112","-78.94279"
1,41,"60314","10 March 2017 7:06:56 AM","10 March 2017 7:06:56 AM +0900","31.0747","-79.20387"
1,41,"60273","9 March 2017 4:18:30 AM","9 March 2017 4:18:30 AM +0900","31.27604","-79.05368"
1,41,"60217","6 March 2017 10:38:24 AM","6 March 2017 10:38:24 AM +0900","31.12612","-79.12704"
1,41,"60205","6 March 2017 7:11:02 AM","6 March 2017 7:11:02 AM +0900","31.23092","-79.1007"
1,41,"60170","5 March 2017 7:29:05 AM","5 March 2017 7:29:05 AM +0900","31.30535","-79.23541"
1,41,"60105","1 March 2017 8:15:49 AM","1 March 2017 8:15:49 AM +0900","31.14577","-79.12772"
1,41,"60022","25 February 2017 1:34:34 AM","25 February 2017 1:34:34 AM +0900","31.28468","-79.33033"
1,41,"60011","24 February 2017 7:55:35 AM","24 February 2017 7:55:35 AM +0900","31.14939","-79.26378"
1,41,"59995","23 February 2017 9:04:08 AM","23 February 2017 9:04:08 AM +0900","31.30975","-79.03703"
1,41,"59993","23 February 2017 8:23:20 AM","23 February 2017 8:23:20 AM +0900","31.30828","-79.03818"
1,41,"59991","23 February 2017 8:01:59 AM","23 February 2017 8:01:59 AM +0900","31.29981","-79.03267"
1,41,"59895","19 February 2017 8:30:08 AM","19 February 2017 8:30:08 AM +0900","31.15287","-78.95188"
1,41,"59879","18 February 2017 9:57:45 AM","18 February 2017 9:57:45 AM +0900","31.09694","-78.98688"
